iter	Logloss
0	0.6362358373
1	0.5900633363
2	0.5530272788
3	0.5247685025
4	0.5033126079
5	0.4864487678
6	0.4721521689
7	0.461297326
8	0.4533650199
9	0.4455419286
10	0.4390224346
11	0.4341402728
12	0.4302063975
13	0.4267698803
14	0.4234539166
15	0.4202397693
16	0.4175118164
17	0.4148141544
18	0.4128256472
19	0.4112764395
20	0.4093777823
21	0.4081185125
22	0.4064224632
23	0.404734419
24	0.4035127933
25	0.4022977981
26	0.4003678292
27	0.399385141
28	0.3977747103
29	0.3964303016
30	0.3948146811
31	0.3938759239
32	0.392843942
33	0.3916897315
34	0.3904725256
35	0.3892645792
36	0.3884881761
37	0.3873021223
38	0.3862200606
39	0.3852693459
40	0.3842435859
41	0.3831823423
42	0.381762196
43	0.381230579
44	0.3806048046
45	0.3794035338
46	0.3781442531
47	0.377543864
48	0.3766448735
49	0.3758922506
50	0.3745629307
51	0.3738500039
52	0.3725506399
53	0.3716304376
54	0.3701536025
55	0.3693115661
56	0.368291223
57	0.3673325213
58	0.3661325907
59	0.3655279625
60	0.3648314562
61	0.3644560942
62	0.3634329242
63	0.3621550095
64	0.3608502996
65	0.3601896123
66	0.3597263117
67	0.358845942
68	0.3585065391
69	0.3574340269
70	0.3567499444
71	0.3561218661
72	0.3547669097
73	0.3540639733
74	0.3530184177
75	0.3520264344
76	0.3520085373
77	0.3511045074
78	0.3500992706
79	0.349322203
80	0.3489070264
81	0.347861589
82	0.3469500274
83	0.3461726299
84	0.345013962
85	0.3444205685
86	0.3437187108
87	0.3430006938
88	0.3416654765
89	0.3405993582
90	0.3397155082
91	0.3385849733
92	0.3376526801
93	0.3368290819
94	0.3360880703
95	0.3355238167
96	0.3345655593
97	0.3337325404
98	0.3327956254
99	0.3320910137
100	0.3309440805
101	0.3303706758
102	0.3297469147
103	0.3289972169
104	0.3285815123
105	0.3277726908
106	0.3270632018
107	0.3264927802
108	0.3258426338
109	0.3251394047
110	0.3244235208
111	0.3237357947
112	0.3230428002
113	0.3223033719
114	0.3216540417
115	0.3208233638
116	0.3201341689
117	0.3193254895
118	0.3186075041
119	0.3177100541
120	0.3169213605
121	0.3163293418
122	0.3159500734
123	0.315219289
124	0.3145861339
125	0.3138099378
126	0.3131610053
127	0.3126490724
128	0.3117141664
129	0.3110350716
130	0.3104500091
131	0.3098884081
132	0.3090962765
133	0.3085773377
134	0.3076572997
135	0.3071046841
136	0.3066435572
137	0.3060028658
138	0.3051834794
139	0.3046593973
140	0.3040361907
141	0.3033846829
142	0.3026928269
143	0.3018306272
144	0.3010977304
145	0.300432573
146	0.2998774183
147	0.2994020146
148	0.2985798468
149	0.2979531284
150	0.2971785081
151	0.2962042163
152	0.295657639
153	0.2951635767
154	0.2944944004
155	0.2934902385
156	0.2927506758
157	0.2919025883
158	0.2912921512
159	0.2906763457
160	0.2902326783
161	0.2892958598
162	0.2886797994
163	0.2879170246
164	0.2873571818
165	0.2868114653
166	0.2864403202
167	0.2857478956
168	0.285350111
169	0.2849072053
170	0.284437622
171	0.2837309378
172	0.2830137626
173	0.2824539585
174	0.2818247012
175	0.2813178882
176	0.2807841619
177	0.2800625079
178	0.2795949277
179	0.2792325734
180	0.2786608461
181	0.2781049915
182	0.2774266155
183	0.2769030117
184	0.2764824255
185	0.2759646472
186	0.2752832896
187	0.2748933872
188	0.2742100389
189	0.2735386005
190	0.272797137
191	0.2723665121
192	0.2719240768
193	0.2713087483
194	0.2707722382
195	0.2700371388
196	0.2696864802
197	0.2692919317
198	0.26874172
199	0.2680700879
